iter	RMSE
0	3.5185174
1	3.481205419
2	3.449921849
3	3.424237512
4	3.399216407
5	3.378200631
6	3.356585318
7	3.335819216
8	3.318646719
9	3.301089817
10	3.285282161
11	3.272652988
12	3.260389513
13	3.253127754
14	3.245206109
15	3.234901383
16	3.226742173
17	3.219927255
18	3.211356312
19	3.200965129
20	3.194367148
21	3.187468278
22	3.180477348
23	3.169441358
24	3.159252076
25	3.154073558
26	3.14482532
27	3.133312125
28	3.124758963
29	3.118591457
30	3.112552883
31	3.103785728
32	3.099047589
33	3.089163418
34	3.083449971
35	3.077406365
36	3.073717629
37	3.069126464
38	3.063935622
39	3.060678756
40	3.055515309
41	3.050200734
42	3.04327172
43	3.037951099
44	3.034617381
45	3.03029232
46	3.023938934
47	3.017308334
48	3.013785904
49	3.004919106
50	3.00134111
51	2.994699793
52	2.991891772
53	2.98286315
54	2.979569368
55	2.974921455
56	2.970650687
57	2.966207776
58	2.961832249
59	2.958892343
60	2.955391704
61	2.951349109
62	2.947296922
63	2.947269345
64	2.93987802
65	2.93617479
66	2.931114551
67	2.926385437
68	2.919729504
69	2.917228909
70	2.913167306
71	2.90733277
72	2.903248997
73	2.898379168
74	2.896328725
75	2.892555158
76	2.888591895
77	2.885008627
78	2.882468684
79	2.878558353
80	2.871876344
81	2.867818159
82	2.862925418
83	2.855349154
84	2.850140065
85	2.84739601
86	2.839244191
87	2.832600032
88	2.825755011
89	2.821210611
90	2.818833269
91	2.814178118
92	2.810865512
93	2.806376087
94	2.802906987
95	2.797948535
96	2.794831456
97	2.791199058
98	2.788845347
99	2.7823377
100	2.782281126
101	2.77825011
102	2.770849812
103	2.767955437
104	2.765340476
105	2.761975471
106	2.758528217
107	2.753132191
108	2.750041402
109	2.746122415
110	2.746105466
111	2.742206139
112	2.738786093
113	2.735017925
114	2.731611761
115	2.727108762
116	2.722838574
117	2.72083109
118	2.71674099
119	2.711906463
120	2.708128937
121	2.707932583
122	2.705425785
123	2.702427572
124	2.698597504
125	2.693993815
126	2.692600975
127	2.688868257
128	2.684215251
129	2.681898725
130	2.678958902
131	2.673922184
132	2.668441176
133	2.664393706
134	2.658299482
135	2.655740331
136	2.652572032
137	2.649213306
138	2.644642569
139	2.640664197
140	2.638890083
141	2.633973126
142	2.630942964
143	2.628268183
144	2.625342325
145	2.625120235
146	2.621349449
147	2.617287361
148	2.612541718
149	2.610483307
150	2.604470176
151	2.599819979
152	2.593897948
153	2.588142265
154	2.586380882
155	2.581980214
156	2.578597731
157	2.573441639
158	2.572903086
159	2.569364895
160	2.56897253
161	2.566054149
162	2.562503656
163	2.559771267
164	2.555079378
165	2.552097019
166	2.549193217
167	2.545125342
168	2.541960366
169	2.538493473
170	2.534979078
171	2.530369887
172	2.524757687
173	2.522956255
174	2.521502721
175	2.518054681
176	2.513741063
177	2.511277041
178	2.50711238
179	2.502832512
180	2.500601735
181	2.497404965
182	2.494231903
183	2.493236407
184	2.489609266
185	2.48503772
186	2.482373733
187	2.478675323
188	2.476889221
189	2.473299619
190	2.470380206
191	2.467914175
192	2.464159653
193	2.460673476
194	2.457269691
195	2.453598018
196	2.45114106
197	2.448893663
198	2.446784504
199	2.445315032
200	2.444922432
201	2.44293483
202	2.440586842
203	2.437710831
204	2.437701365
205	2.43455631
206	2.431945107
207	2.426905753
208	2.424543452
209	2.419519525
210	2.416447168
211	2.410844844
212	2.407974924
213	2.404723094
214	2.402353145
215	2.397705611
216	2.393678101
217	2.390143188
218	2.387082312
219	2.384823159
220	2.382201819
221	2.379201222
222	2.37683264
223	2.373596801
224	2.371276982
225	2.368099284
226	2.363911176
227	2.360894319
228	2.358102473
229	2.356648992
230	2.354231867
231	2.35110513
232	2.347144349
233	2.344697776
234	2.342607761
235	2.33803475
236	2.335059439
237	2.331636091
238	2.329213172
239	2.326556934
240	2.324124799
241	2.319216187
242	2.316423248
243	2.315240425
244	2.313143115
245	2.31045372
246	2.306600333
247	2.30364875
248	2.300389057
249	2.29781438
250	2.29449497
251	2.291655885
252	2.289367787
253	2.286409626
254	2.285087115
255	2.282491802
256	2.279475586
257	2.275762236
258	2.273700321
259	2.272117179
260	2.268349146
261	2.266987585
262	2.265875009
263	2.262022663
264	2.259534898
265	2.256977603
266	2.254443944
267	2.251926581
268	2.249382471
269	2.247617905
270	2.24461728
271	2.243760293
272	2.241962392
273	2.241882637
274	2.236338897
275	2.233192986
276	2.229962794
277	2.227426481
278	2.224539817
279	2.22250094
280	2.220693629
281	2.219355812
282	2.21687748
283	2.213999784
284	2.211290584
285	2.208793593
286	2.205880461
287	2.203244217
288	2.201355366
289	2.199330265
290	2.197125255
291	2.195477568
292	2.193634715
293	2.192407719
294	2.192125493
295	2.190450394
296	2.187552886
297	2.185603129
298	2.185298513
299	2.183945855
300	2.182035534
301	2.179826159
302	2.176967105
303	2.176826634
304	2.175379366
305	2.171423522
306	2.169688768
307	2.167474621
308	2.16665842
309	2.164607213
310	2.162102586
311	2.159004433
312	2.156504863
313	2.153855398
314	2.151491968
315	2.148942895
316	2.146548923
317	2.144676347
318	2.142522567
319	2.140640051
320	2.138750949
321	2.137222314
322	2.13534809
323	2.132446441
324	2.12958267
325	2.126021546
326	2.125900142
327	2.125214796
328	2.123323909
329	2.120254113
330	2.118053563
331	2.115587263
332	2.114126434
333	2.111813552
334	2.110512951
335	2.108871177
336	2.107242145
337	2.104185092
338	2.100281878
339	2.098360136
340	2.096713024
341	2.094124181
342	2.092950458
343	2.091777926
344	2.089676649
345	2.086965355
346	2.085489184
347	2.085153803
348	2.082344369
349	2.078119534
350	2.075903115
351	2.074609175
352	2.074600351
353	2.071011461
354	2.069289272
355	2.067003175
356	2.064513202
357	2.062629285
358	2.058066353
359	2.055215983
360	2.051852899
361	2.051431429
362	2.048694319
363	2.045728935
364	2.044358966
365	2.042457665
366	2.041321719
367	2.039337325
368	2.038352582
369	2.035069106
370	2.032961897
371	2.030614284
372	2.029257171
373	2.027213452
374	2.025453406
375	2.023999393
376	2.022167446
377	2.019899365
378	2.017197314
379	2.014907989
380	2.011665874
381	2.009774865
382	2.007996197
383	2.005373825
384	2.00214843
385	1.999320074
386	1.996171166
387	1.994038074
388	1.99299212
389	1.991198796
390	1.989604371
391	1.987904945
392	1.985322852
393	1.983435
394	1.980070316
395	1.979206781
396	1.976950326
397	1.97486261
398	1.973761918
399	1.97203284
400	1.970477615
401	1.968931185
402	1.967661079
403	1.96617373
404	1.964731729
405	1.963329647
406	1.961496865
407	1.958266145
408	1.954998742
409	1.952810141
410	1.951395008
411	1.94966905
412	1.948715529
413	1.946289189
414	1.945015386
415	1.942939837
416	1.941067857
417	1.939284508
418	1.938581435
419	1.936088237
420	1.93423375
421	1.933348864
422	1.931837929
423	1.929927362
424	1.928555527
425	1.927208794
426	1.92574136
427	1.924357699
428	1.922618639
429	1.92043681
430	1.918718115
431	1.916463059
432	1.913235436
433	1.911682996
434	1.909361521
435	1.90724929
436	1.905743116
437	1.904340049
438	1.90259435
439	1.901124393
440	1.899038848
441	1.897840124
442	1.896289934
443	1.894728199
444	1.891958298
445	1.890752658
446	1.888674197
447	1.887799568
448	1.886417368
449	1.885265379
450	1.883849576
451	1.881602063
452	1.880306014
453	1.879009616
454	1.877287772
455	1.875647404
456	1.874770679
457	1.87261069
458	1.870530343
459	1.868077681
460	1.86709143
461	1.865214593
462	1.863657147
463	1.862963352
464	1.861871127
465	1.85992078
466	1.858565159
467	1.85694604
468	1.854253421
469	1.853636886
470	1.851909067
471	1.850139574
472	1.848849159
473	1.84658976
474	1.844985122
475	1.843435601
476	1.842040218
477	1.840965959
478	1.837542863
479	1.835164125
480	1.834316481
481	1.832735394
482	1.831930669
483	1.831101021
484	1.830450639
485	1.829287082
486	1.827421652
487	1.826313941
488	1.82449758
489	1.822336056
490	1.82122988
491	1.818731928
492	1.817283493
493	1.815363462
494	1.814168264
495	1.811678735
496	1.809334912
497	1.807533518
498	1.806306698
499	1.804656973
500	1.803260756
501	1.800256366
502	1.799111235
503	1.798179908
504	1.795745758
505	1.794815551
506	1.792672538
507	1.79128372
508	1.78977376
509	1.787836517
510	1.786523657
511	1.785893588
512	1.784206529
513	1.783071923
514	1.78199163
515	1.780129209
516	1.777638856
517	1.776164746
518	1.773828976
519	1.772302821
520	1.771446351
521	1.769570883
522	1.768328862
523	1.765938288
524	1.765481517
525	1.763219669
526	1.761973903
527	1.760730608
528	1.758588784
529	1.75656111
530	1.755267959
531	1.752957801
532	1.751342959
533	1.749529024
534	1.747870006
535	1.74654384
536	1.744368628
537	1.743414394
538	1.741690151
539	1.740566864
540	1.739765527
541	1.737399631
542	1.735443828
543	1.733445878
544	1.732460473
545	1.731425844
546	1.729511612
547	1.728241621
548	1.726175464
549	1.724957531
550	1.723592632
551	1.72288709
552	1.722515477
553	1.721387908
554	1.718837343
555	1.71738857
556	1.715910297
557	1.714335857
558	1.712873719
559	1.711459216
560	1.709869335
561	1.708664509
562	1.707102505
563	1.706245359
564	1.705243495
565	1.702995585
566	1.701457156
567	1.699821983
568	1.698102437
569	1.695532973
570	1.694211814
571	1.693310623
572	1.691945547
573	1.690225055
574	1.688432183
575	1.687385461
576	1.685231076
577	1.683899484
578	1.682815776
579	1.681228941
580	1.679017836
581	1.677455247
582	1.677301033
583	1.676698063
584	1.675125697
585	1.674186377
586	1.673159512
587	1.672235783
588	1.670626904
589	1.669399759
590	1.66831484
591	1.667055386
592	1.666382685
593	1.665582881
594	1.66447541
595	1.663213351
596	1.661757758
597	1.660603821
598	1.660123298
599	1.657990721
600	1.655511635
601	1.65426375
602	1.651974506
