iter	Passed	Remaining
0	86	86718
1	116	57943
2	145	48466
3	174	43329
4	201	40057
5	226	37518
6	252	35863
7	277	34362
8	302	33335
9	330	32760
10	355	32002
11	383	31582
12	408	31024
13	433	30536
14	457	30064
15	482	29676
16	507	29327
17	533	29105
18	559	28892
19	586	28722
20	612	28544
21	638	28375
22	663	28176
23	689	28055
24	719	28062
25	744	27906
26	771	27794
27	798	27705
28	825	27641
29	852	27577
30	878	27469
31	903	27339
32	929	27223
33	957	27192
34	985	27171
35	1013	27136
36	1039	27043
37	1065	26962
38	1091	26893
39	1119	26863
40	1145	26786
41	1169	26682
42	1198	26679
43	1229	26709
44	1254	26626
45	1280	26550
46	1308	26529
47	1335	26482
48	1362	26450
49	1388	26372
50	1413	26309
51	1440	26258
52	1468	26242
53	1495	26200
54	1525	26203
55	1551	26157
56	1577	26096
57	1605	26070
58	1628	25974
59	1652	25896
60	1678	25831
61	1702	25756
62	1728	25712
63	1731	25318
64	1758	25302
65	1783	25243
66	1809	25198
67	1836	25167
68	1862	25125
69	1888	25095
70	1913	25041
71	1938	24984
72	1963	24938
73	1989	24901
74	2016	24870
75	2040	24804
76	2064	24744
77	2091	24727
78	2118	24696
79	2144	24665
80	2171	24637
81	2197	24596
82	2223	24564
83	2248	24524
84	2277	24513
85	2303	24477
86	2329	24447
87	2354	24400
88	2380	24369
89	2407	24342
90	2434	24321
91	2461	24292
92	2485	24244
93	2514	24231
94	2538	24178
95	2563	24136
96	2588	24097
97	2614	24065
98	2640	24029
99	2665	23991
100	2668	23755
101	2694	23719
102	2720	23689
103	2743	23638
104	2770	23613
105	2795	23572
106	2821	23548
107	2846	23513
108	2871	23473
109	2895	23423
110	2897	23206
111	2923	23182
112	2948	23140
113	2974	23114
114	3000	23093
115	3026	23060
116	3053	23046
117	3079	23016
118	3105	22990
119	3134	22989
120	3165	22995
121	3169	22812
122	3196	22791
123	3223	22773
124	3251	22761
125	3277	22732
126	3287	22600
127	3312	22565
128	3338	22538
129	3363	22506
130	3389	22486
131	3418	22478
132	3448	22480
133	3476	22468
134	3503	22448
135	3529	22420
136	3553	22384
137	3580	22363
138	3607	22346
139	3634	22326
140	3661	22306
141	3689	22291
142	3717	22277
143	3744	22258
144	3770	22235
145	3785	22143
146	3811	22116
147	3837	22093
148	3863	22064
149	3888	22037
150	3915	22014
151	3942	21994
152	4013	22219
153	4053	22270
154	4084	22267
155	4111	22242
156	4138	22223
157	4167	22209
158	4193	22180
159	4225	22183
160	4253	22163
161	4280	22140
162	4307	22120
163	4335	22098
164	4362	22078
165	4390	22056
166	4417	22033
167	4442	22000
168	4469	21977
169	4496	21952
170	4525	21937
171	4551	21913
172	4579	21892
173	4606	21867
174	4634	21850
175	4660	21821
176	4687	21794
177	4714	21769
178	4741	21746
179	4768	21723
180	4795	21701
181	4824	21683
182	4851	21659
183	4879	21637
184	4907	21617
185	4933	21590
186	4960	21566
187	4985	21533
188	5012	21506
189	5038	21479
190	5065	21455
191	5094	21438
192	5119	21405
193	5145	21378
194	5171	21350
195	5199	21327
196	5225	21301
197	5253	21277
198	5279	21248
199	5306	21225
200	5333	21199
201	5359	21172
202	5385	21144
203	5413	21122
204	5422	21027
205	5449	21003
206	5476	20979
207	5502	20951
208	5528	20924
209	5556	20903
210	5583	20877
211	5610	20852
212	5637	20829
213	5664	20803
214	5689	20774
